,lectures,lectures,lectures,lectures,lectures,lectures,lectures,lectures,
,"[1,3,5,7]","[101,103,105,107]","[4,6,8,13]","[104,106,108,113]","[9,10,12,14]","[109,110,112,114]","[2,11,15]","[102,111,115]",
10/18/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,,,saturday
10/19/2025,,,,,,,,,sunday
10/20/2025,,,,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,monday
10/21/2025,,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,,,tuesday
10/22/2025,,,,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,wednesday
10/23/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,,,thursday
10/24/2025,,,,,,03:00PM to 04:00PM,,04:00PM to 05:00PM,friday
10/25/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,,,saturday
10/26/2025,,,,,,,,,sunday
10/27/2025,,,,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,monday
10/28/2025,,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,,,tuesday
10/29/2025,,,,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,wednesday
10/30/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,,,thursday
10/31/2025,,,,,,03:00PM to 04:00PM,,04:00PM to 05:00PM,friday
11/1/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,,,saturday
11/2/2025,,,,,,,,,sunday
11/3/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,monday
11/4/2025,,10:00AM to 11:00AM,,11:00AM to 12:00PM,12:00PM to 01:00PM,,01:00PM to 02:00PM,,tuesday
11/5/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,wednesday
11/6/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,03:00PM to 04:00PM,,04:00PM to 05:00PM,,thursday
11/7/2025,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,03:00PM to 04:00PM,,04:00PM to 05:00PM,friday
11/8/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,03:00PM to 04:00PM,,04:00PM to 05:00PM,,saturday
11/9/2025,,,,,,,,,sunday
11/10/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,monday
11/11/2025,,10:00AM to 11:00AM,,11:00AM to 12:00PM,12:00PM to 01:00PM,,01:00PM to 02:00PM,,tuesday
11/12/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,wednesday
11/13/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,03:00PM to 04:00PM,,04:00PM to 05:00PM,,thursday
11/14/2025,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,03:00PM to 04:00PM,,04:00PM to 05:00PM,friday
11/15/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,03:00PM to 04:00PM,,04:00PM to 05:00PM,,saturday
11/16/2025,,,,,,,,,sunday
11/17/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,monday
11/18/2025,,10:00AM to 11:00AM,,11:00AM to 12:00PM,12:00PM to 01:00PM,,01:00PM to 02:00PM,,tuesday
11/19/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,wednesday
11/20/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,03:00PM to 04:00PM,,04:00PM to 05:00PM,,thursday
11/21/2025,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,03:00PM to 04:00PM,,04:00PM to 05:00PM,friday
11/22/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,03:00PM to 04:00PM,,04:00PM to 05:00PM,,saturday
11/23/2025,,,,,,,,,sunday
11/24/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,monday
11/25/2025,,10:00AM to 11:00AM,,11:00AM to 12:00PM,12:00PM to 01:00PM,,01:00PM to 02:00PM,,tuesday
11/26/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,wednesday
11/27/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,03:00PM to 04:00PM,,04:00PM to 05:00PM,,thursday
11/28/2025,01:00PM to 02:00PM,,02:00PM  to 03:00PM,,,03:00PM to 04:00PM,,04:00PM to 05:00PM,friday
11/29/2025,,01:00PM to 02:00PM,,02:00PM  to 03:00PM,03:00PM to 04:00PM,,04:00PM to 05:00PM,,saturday
11/30/2025,,,,,,,,,sunday
12/1/2025,10:00AM to 11:00AM,,11:00AM to 12:00PM,,,12:00PM to 01:00PM,,01:00PM to 02:00PM,monday
